ResponseId,qid,res,Qlevel,was_rev,freDelta,fkglDelta,from.text,to.text,from.FRE,from.FKG,to.FRE,to.FKG
R_29vru7q5CJ98yzq,5eb234c6deb70a6af2260959,Somewhat disagree,Bachelor's degree,True,-42.39065789473682,14.980263157894736,"Interestingly, in another thread of the Apache httpd mailing list they discuss an issue of harmful warning messages originating from meta-information they also use to enforce up-to-dateness of different translations. As they conclude, ""The whole point of the comment is to see which exact revisions of the original file you have to diff to see the changes."".","However, we found one case in Apache httpd documentation mailing list where the traceability information between translations of a document was still managed manually, e.g., by adding a line of comment at top of translations referring to original document and more particularly ""The whole point of the comment is to see which exact revisions of the original file you have to diff to see the changes."".",30.97065789473683,16.019736842105267,-11.419999999999987,31.000000000000004
R_1qe49WBdYQHVIC0,5eb234c6deb70a6af2260959,Somewhat agree,PhD,True,-42.39065789473682,14.980263157894736,"Interestingly, in another thread of the Apache httpd mailing list they discuss an issue of harmful warning messages originating from meta-information they also use to enforce up-to-dateness of different translations. As they conclude, ""The whole point of the comment is to see which exact revisions of the original file you have to diff to see the changes."".","However, we found one case in Apache httpd documentation mailing list where the traceability information between translations of a document was still managed manually, e.g., by adding a line of comment at top of translations referring to original document and more particularly ""The whole point of the comment is to see which exact revisions of the original file you have to diff to see the changes."".",30.97065789473683,16.019736842105267,-11.419999999999987,31.000000000000004
R_1rdCf8KahWgDe0e,5eb234c6deb70a6af2260959,Somewhat disagree,Bachelor's degree,True,-42.39065789473682,14.980263157894736,"Interestingly, in another thread of the Apache httpd mailing list they discuss an issue of harmful warning messages originating from meta-information they also use to enforce up-to-dateness of different translations. As they conclude, ""The whole point of the comment is to see which exact revisions of the original file you have to diff to see the changes."".","However, we found one case in Apache httpd documentation mailing list where the traceability information between translations of a document was still managed manually, e.g., by adding a line of comment at top of translations referring to original document and more particularly ""The whole point of the comment is to see which exact revisions of the original file you have to diff to see the changes."".",30.97065789473683,16.019736842105267,-11.419999999999987,31.000000000000004
R_29vru7q5CJ98yzq,5eb234c6deb70a6af225fbb3,Somewhat agree,Bachelor's degree,True,-32.263783783783765,11.207702702702708,"Example: The incompleteness could raise from different things such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported""). Fig 4.4 illustrate other type of missing information we observed.","Example: We observed different causes of incompleteness such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported"").",-5.636216216216212,23.2372972972973,-37.89999999999998,34.44500000000001
R_11i4q1oXXFExHeY,5eb234c6deb70a6af225fbb3,Somewhat disagree,PhD,False,-32.263783783783765,11.207702702702708,"Example: The incompleteness could raise from different things such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported""). Fig 4.4 illustrate other type of missing information we observed.","Example: We observed different causes of incompleteness such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported"").",-5.636216216216212,23.2372972972973,-37.89999999999998,34.44500000000001
R_UxojytqMVae2qtP,5eb234c6deb70a6af225fbb3,Somewhat disagree,Bachelor's degree,False,-32.263783783783765,11.207702702702708,"Example: The incompleteness could raise from different things such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported""). Fig 4.4 illustrate other type of missing information we observed.","Example: We observed different causes of incompleteness such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported"").",-5.636216216216212,23.2372972972973,-37.89999999999998,34.44500000000001
R_x3frHDHnq8LQsQp,5eb234c6deb70a6af225fbb3,Somewhat disagree,PhD,False,-32.263783783783765,11.207702702702708,"Example: The incompleteness could raise from different things such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported""). Fig 4.4 illustrate other type of missing information we observed.","Example: We observed different causes of incompleteness such as missing explanation (e.g.,**""is there any idea what ""frequently used"" might mean?""), a component in a library (e.g.,**""The documentation on [...] is missing information about the toolbar buttons""), API behavior clarification (e.g.,**""I think that we should add documentation ensuring that the user passes a tree with reset bounds""), or compatibility information (e.g.,**""Explicitly mention if clang 4.x, 5.x are supported"").",-5.636216216216212,23.2372972972973,-37.89999999999998,34.44500000000001
R_1qe49WBdYQHVIC0,5eb233fadeb70a6af2237939,Neither agree nor disagree,PhD,True,-7.141341463414619,3.728780487804876,"After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness. In the end, we obtained 1,448 refactoring operations from 619 projects, while no relevant refactorings are detected in the other 881 projects.","After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness.",11.41500000000002,19.120000000000005,4.273658536585401,22.84878048780488
R_3rSYx78iHZJXiHP,5eb233fadeb70a6af2237939,Somewhat disagree,Master's degree,True,-7.141341463414619,3.728780487804876,"After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness. In the end, we obtained 1,448 refactoring operations from 619 projects, while no relevant refactorings are detected in the other 881 projects.","After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness.",11.41500000000002,19.120000000000005,4.273658536585401,22.84878048780488
R_11i4q1oXXFExHeY,5eb233fadeb70a6af2237939,Somewhat disagree,PhD,False,-7.141341463414619,3.728780487804876,"After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness. In the end, we obtained 1,448 refactoring operations from 619 projects, while no relevant refactorings are detected in the other 881 projects.","After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness.",11.41500000000002,19.120000000000005,4.273658536585401,22.84878048780488
R_x3frHDHnq8LQsQp,5eb233fadeb70a6af2237939,Somewhat agree,PhD,False,-7.141341463414619,3.728780487804876,"After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness. In the end, we obtained 1,448 refactoring operations from 619 projects, while no relevant refactorings are detected in the other 881 projects.","After obtaining all the commits with refactoring operations, we filtered out commits involved in which more than one refactoring type was applied, again to better isolate and study the effect of a single type of refactoring operation on the code naturalness.",11.41500000000002,19.120000000000005,4.273658536585401,22.84878048780488
R_1qe49WBdYQHVIC0,5eb23451deb70a6af224dcd2,Somewhat disagree,PhD,True,-25.660425265791133,9.872620387742339,"Sliwerski et al. studied the day of the week and the size of commits on two completely different projects, Eclipse and Mozilla. They found that the commits on Friday were the buggiest, and large commits were more likely to contain bugs.","Sliwerski et al., studied the day of the week and size of commits for two totally different projects, Eclipse and Mozilla, and found that the commits on Fridays are buggiest and large commits are more likely to contain bugs.",67.09504065040652,7.296097560975612,41.434615384615384,17.16871794871795
R_11i4q1oXXFExHeY,5eb23451deb70a6af224dcd2,Somewhat agree,PhD,False,-25.660425265791133,9.872620387742339,"Sliwerski et al. studied the day of the week and the size of commits on two completely different projects, Eclipse and Mozilla. They found that the commits on Friday were the buggiest, and large commits were more likely to contain bugs.","Sliwerski et al., studied the day of the week and size of commits for two totally different projects, Eclipse and Mozilla, and found that the commits on Fridays are buggiest and large commits are more likely to contain bugs.",67.09504065040652,7.296097560975612,41.434615384615384,17.16871794871795
R_UxojytqMVae2qtP,5eb23451deb70a6af224dcd2,Strongly agree,Bachelor's degree,False,-25.660425265791133,9.872620387742339,"Sliwerski et al. studied the day of the week and the size of commits on two completely different projects, Eclipse and Mozilla. They found that the commits on Friday were the buggiest, and large commits were more likely to contain bugs.","Sliwerski et al., studied the day of the week and size of commits for two totally different projects, Eclipse and Mozilla, and found that the commits on Fridays are buggiest and large commits are more likely to contain bugs.",67.09504065040652,7.296097560975612,41.434615384615384,17.16871794871795
R_yBzrUpnniw4HCkp,5eb23451deb70a6af224dcd2,Strongly agree,Master's degree,False,-25.660425265791133,9.872620387742339,"Sliwerski et al. studied the day of the week and the size of commits on two completely different projects, Eclipse and Mozilla. They found that the commits on Friday were the buggiest, and large commits were more likely to contain bugs.","Sliwerski et al., studied the day of the week and size of commits for two totally different projects, Eclipse and Mozilla, and found that the commits on Fridays are buggiest and large commits are more likely to contain bugs.",67.09504065040652,7.296097560975612,41.434615384615384,17.16871794871795
R_1qe49WBdYQHVIC0,5eb23455deb70a6af2250d84,Somewhat agree,PhD,True,-21.888764491929976,6.779461241191182,"In most cases, the change occurred in the form of a comment update (113), while in a few cases (12) a new comment was added. We observed three main reasons why developers update comments: (i) the comment wrongly describes the application logic (35), due to an error done when the comment was written in the first place or to an inconsistency introduced during the code evolution (in these cases we were not able to trace back to the specific cause of the problem); (ii) the comment needs to be updated as a consequence of a new implementation logic (25); (iii) the comment is improved to explain the actual implementation in more details (53).","In most cases, a change occurred in a comment update (113), while in a few cases (12) a new comment was added. For updates, which were in most cases closely related to an inconsistency, we observed three main reasons why developers updated comments: (i) the comment was wrong before (35) (i.e., it was already wrong when it was first added, or it became outdated after a change), (ii) they updated the comment together/following a new implementation (25), (iii) they wanted to explain the actual implementation (53) in more detail.",41.86391509433963,14.003490566037737,19.975150602409656,20.78295180722892
R_3rSYx78iHZJXiHP,5eb23455deb70a6af2250d84,Somewhat disagree,Master's degree,True,-21.888764491929976,6.779461241191182,"In most cases, the change occurred in the form of a comment update (113), while in a few cases (12) a new comment was added. We observed three main reasons why developers update comments: (i) the comment wrongly describes the application logic (35), due to an error done when the comment was written in the first place or to an inconsistency introduced during the code evolution (in these cases we were not able to trace back to the specific cause of the problem); (ii) the comment needs to be updated as a consequence of a new implementation logic (25); (iii) the comment is improved to explain the actual implementation in more details (53).","In most cases, a change occurred in a comment update (113), while in a few cases (12) a new comment was added. For updates, which were in most cases closely related to an inconsistency, we observed three main reasons why developers updated comments: (i) the comment was wrong before (35) (i.e., it was already wrong when it was first added, or it became outdated after a change), (ii) they updated the comment together/following a new implementation (25), (iii) they wanted to explain the actual implementation (53) in more detail.",41.86391509433963,14.003490566037737,19.975150602409656,20.78295180722892
